oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRC_L2.2026May01.alf_Vul.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.alf_Vul.MIRCX_IDL.lbd_all.AVG10m.oifits,alf_Vul,2026-05-01,MIRCX+MYSTIC,3690.000,1.300,-0.380,1.088,4.342,0.003,1.319,0.895,4.194,0.024,4.240,0.006,4.164,1.059,4.359,0.007,0.332,0.009,0.199,0.017,0.840,1.036,4.359,0.093,0.237,0.590,0.000,0.339,1.155,1.784,1.066,1.698,151.894,1.052,4.312,0.005,0.412,0.010,0.239,0.018,0.742,1.064,4.347,0.008,0.210,0.036,0.142,0.016,0.365,0.052,0.235,0.031,0.750
MIRC_L2.2026May01.109_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.109_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,109_Her,2026-05-01,MIRCX+MYSTIC,4387.000,2.240,-0.060,1.033,3.004,0.002,2.530,0.907,2.895,0.025,2.912,0.004,4.114,1.001,2.999,0.007,0.237,0.021,0.155,0.013,1.612,0.995,2.961,0.018,1.530,0.951,0.768,1.059,0.231,0.164,0.164,0.219,1.605,1.001,2.971,0.006,0.302,0.018,0.196,0.020,1.225,1.003,2.997,0.009,0.208,0.032,0.016,0.053,0.241,0.053,0.385,0.097,1.137
MIRC_L2.2026May01.del_Boo.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.del_Boo.MIRCX_IDL.lbd_all.AVG10m.oifits,del_Boo,2026-05-01,MIRCX+MYSTIC,4880.000,2.480,-0.360,1.091,2.766,0.002,1.618,0.977,2.686,0.008,2.691,0.002,3.761,1.060,2.768,0.005,0.198,0.010,0.137,0.011,1.321,1.054,2.770,0.041,0.040,0.317,0.049,0.129,0.888,1.463,1.989,3.293,118.123,1.056,2.741,0.003,0.252,0.010,0.166,0.010,1.090,1.059,2.775,0.007,0.106,0.037,-0.074,0.036,0.356,0.062,0.525,0.062,1.113
MIRC_L2.2026May01.eta_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.eta_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,eta_Ser,2026-05-01,MIRCX+MYSTIC,4948.000,3.180,-0.190,1.164,2.992,0.002,1.827,1.048,2.886,0.009,2.907,0.004,4.681,1.133,2.984,0.004,0.203,0.011,0.130,0.008,1.177,1.137,2.955,0.014,1.205,0.810,1.322,2.251,0.222,0.116,0.138,0.111,0.924,1.135,2.958,0.003,0.257,0.012,0.164,0.011,0.838,1.138,2.979,0.008,0.150,0.064,0.050,0.046,0.230,0.119,0.242,0.090,0.919
MIRC_L2.2026May01.lam_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.lam_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,lam_Her,2026-05-01,MIRCX+MYSTIC,4070.000,1.890,-0.040,1.089,3.124,0.002,2.330,0.936,3.017,0.021,3.022,0.007,9.061,1.059,3.117,0.007,0.250,0.021,0.170,0.016,1.290,1.049,3.160,0.049,0.109,0.106,0.051,0.042,2.350,1.686,3.230,2.189,1.030,1.054,3.085,0.004,0.315,0.016,0.203,0.010,1.391,1.056,3.116,0.010,0.207,0.040,0.035,0.025,0.265,0.052,0.376,0.059,1.114
MIRC_L2.2026May01.rho_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.rho_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,rho_Ser,2026-05-01,MIRCX+MYSTIC,3920.000,1.680,-0.170,1.194,3.375,0.003,3.614,0.962,3.271,0.010,3.275,0.008,11.103,1.135,3.392,0.004,0.306,0.011,0.209,0.006,2.677,1.117,3.324,0.023,-0.033,0.000,4.004,2.874,0.658,0.000,0.122,0.124,115.757,1.128,3.354,0.004,0.373,0.012,0.247,0.008,1.345,1.134,3.368,0.006,0.224,0.049,0.226,0.045,0.255,0.063,0.086,0.093,1.028
MIRC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,MYSTIC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,ups_Per,2025-10-20,MIRCX+MYSTIC,4374.000,2.060,0.050,1.029,3.612,0.002,3.026,0.863,3.507,0.011,3.536,0.005,12.768,1.013,3.626,0.005,0.315,0.018,0.177,0.011,1.699,1.017,3.633,0.028,0.160,0.158,0.030,0.275,1.651,1.069,0.801,1.069,6.686,1.012,3.589,0.004,0.390,0.019,0.219,0.009,1.830,1.021,3.620,0.005,-0.011,0.060,0.155,0.030,0.660,0.071,0.206,0.057,0.877
MIRC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,ksi_Dra,2026-03-23,MIRCX+MYSTIC,4504.000,2.310,-0.010,1.107,3.074,0.002,0.949,0.915,2.987,0.008,3.002,0.004,6.377,1.107,3.097,0.004,0.286,0.010,0.200,0.009,1.007,1.098,3.111,0.102,-0.049,0.311,0.000,0.170,1.423,2.067,1.628,3.573,148.560,1.103,3.062,0.002,0.348,0.016,0.237,0.009,0.942,1.112,3.097,0.018,0.187,0.043,0.067,0.061,0.352,0.129,0.397,0.158,0.668
MIRC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,bet_Dra,2026-03-23,MIRCX+MYSTIC,5184.000,1.660,0.060,1.130,3.361,0.002,2.180,0.993,3.281,0.005,3.289,0.008,4.474,1.094,3.357,0.005,0.169,0.015,0.125,0.011,1.584,1.088,3.324,0.023,0.212,0.788,0.240,1.707,0.266,0.479,0.137,0.345,3.136,1.089,3.325,0.005,0.212,0.028,0.149,0.016,2.024,1.098,3.345,0.007,0.087,0.054,0.080,0.029,0.247,0.054,0.189,0.044,1.886
MIRC_L2.2026Apr04.alf_CMi.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.alf_CMi.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,alf_CMi,2026-04-04,MIRCX+MYSTIC,6570.000,4.040,-0.040,1.073,5.462,0.005,2.753,0.916,5.365,0.006,5.369,0.004,4.356,1.023,5.450,0.005,0.150,0.016,0.094,0.008,1.973,1.022,5.407,0.005,0.767,0.356,1.696,0.400,0.240,0.067,0.100,0.019,2.690,1.022,5.410,0.002,0.214,0.012,0.125,0.009,1.939,1.022,5.409,0.004,0.149,0.031,0.147,0.019,0.083,0.045,-0.035,0.032,2.140
MIRC_L2.2026Apr04.109_Her.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.109_Her.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,109_Her,2026-04-04,MIRCX+MYSTIC,4387.000,2.240,-0.060,1.050,3.006,0.001,2.370,0.925,2.943,0.020,2.915,0.003,6.965,1.034,3.015,0.007,0.321,0.029,0.184,0.013,1.744,1.029,3.034,0.037,0.195,0.370,0.055,0.058,1.120,0.853,2.616,1.778,568.805,1.032,2.983,0.004,0.389,0.024,0.219,0.012,1.552,1.037,3.031,0.007,0.305,0.036,-0.059,0.030,0.259,0.037,0.649,0.059,1.406
